Date,CustomerBHD,CustomerFimplus,CustomerPhimGoi
2019-05-01,93,4520,0
2019-05-02,68,3780,0
2019-05-03,73,4092,0
2019-05-04,89,4522,0
2019-05-05,83,4567,0
2019-05-06,91,3782,0
2019-05-07,84,3931,0
2019-05-08,92,3884,0
2019-05-09,92,3855,0
2019-05-10,89,4059,0
2019-05-11,104,4429,0
2019-05-12,95,4334,0
2019-05-13,76,3757,0
2019-05-14,86,3808,0
2019-05-15,78,3579,0
2019-05-16,85,3713,0
2019-05-17,76,3586,0
2019-05-18,95,3869,0
2019-05-19,94,4119,0
2019-05-20,81,3468,0
2019-05-21,86,3585,0
2019-05-22,75,3679,0
2019-05-23,82,3493,0
2019-05-24,78,3598,0
2019-05-25,82,3947,0
2019-05-26,76,4201,0
2019-05-27,91,3917,0
2019-05-28,94,3930,0
2019-05-29,93,3986,0
2019-05-30,94,3826,0
2019-05-31,92,3981,0
2019-06-01,91,3917,0
2019-06-02,91,3924,0
2019-06-03,84,3679,0
2019-06-04,85,3751,0
2019-06-05,70,3356,0
2019-06-06,69,3743,0
2019-06-07,77,3418,0
2019-06-08,65,3618,0
2019-06-09,93,3851,0
2019-06-10,74,3621,0
2019-06-11,81,3645,0
2019-06-12,94,3502,0
2019-06-13,94,3524,0
2019-06-14,86,3595,0
2019-06-15,94,3933,0
2019-06-16,91,4075,0
2019-06-17,79,3711,0
2019-06-18,86,3645,0
2019-06-19,86,3641,0
2019-06-20,85,3545,0
2019-06-21,101,3846,0
2019-06-22,95,4044,0
2019-06-23,92,4276,0
2019-06-24,77,3975,0
2019-06-25,89,3949,0
2019-06-26,89,3879,0
2019-06-27,68,3855,0
2019-06-28,101,3963,0
2019-06-29,81,4102,0
2019-06-30,99,4223,0
2019-07-01,90,3834,0
2019-07-02,94,3979,0
2019-07-03,93,3882,0
2019-07-04,89,3984,0
2019-07-05,75,3909,0
2019-07-06,96,3907,0
2019-07-07,89,4031,0
2019-07-08,82,3762,0
2019-07-09,88,3674,0
2019-07-10,84,3619,0
2019-07-11,77,3542,0
2019-07-12,70,3543,0
2019-07-13,84,3723,0
2019-07-14,74,3770,0
2019-07-15,89,3519,0
2019-07-16,86,3732,0
2019-07-17,70,3685,0
2019-07-18,84,3528,0
2019-07-19,74,3570,0
2019-07-20,66,3650,0
2019-07-21,84,3763,0
2019-07-22,79,3621,0
2019-07-23,85,3605,0
2019-07-24,67,3483,0
2019-07-25,73,3573,0
2019-07-26,69,3087,0
2019-07-27,86,3515,0
2019-07-28,83,3714,0
2019-07-29,79,3212,0
2019-07-30,72,3352,0
2019-07-31,77,3183,0
2019-08-01,69,3559,0
2019-08-02,79,3657,0
2019-08-03,77,4215,0
2019-08-04,81,4130,0
2019-08-05,68,3327,0
2019-08-06,85,3677,0
2019-08-07,78,3556,0
2019-08-08,82,3689,0
2019-08-09,77,3647,0
2019-08-10,86,3859,0
2019-08-11,113,3857,0
2019-08-12,86,3462,0
2019-08-13,67,3494,0
2019-08-14,72,3548,0
2019-08-15,82,3494,0
2019-08-16,81,3583,0
2019-08-17,96,3836,0
2019-08-18,92,3864,0
2019-08-19,59,3395,0
2019-08-20,68,3511,0
2019-08-21,72,3599,0
2019-08-22,63,3564,0
2019-08-23,62,3723,0
2019-08-24,103,3964,0
2019-08-25,100,4090,0
2019-08-26,78,3408,0
2019-08-27,60,3475,0
2019-08-28,66,3581,0
2019-08-29,77,3659,0
2019-08-30,78,3891,0
2019-08-31,89,4036,0
2019-09-01,90,0,0
2019-09-02,83,0,0
2019-09-03,56,0,0
2019-09-04,75,0,0
2019-09-05,73,0,0
2019-09-06,76,0,0
2019-09-07,79,0,0
2019-09-08,88,0,0
2019-09-09,62,0,0
2019-09-10,66,0,0
2019-09-11,59,0,0
2019-09-12,75,0,0
2019-09-13,74,0,0
2019-09-14,84,0,0
2019-09-15,78,0,0
2019-09-16,65,0,0
2019-09-17,73,0,0
2019-09-18,62,0,0
2019-09-19,68,0,0
2019-09-20,65,0,0
2019-09-21,77,0,0
2019-09-22,80,0,0
2019-09-23,58,0,0
2019-09-24,56,0,0
2019-09-25,59,0,0
2019-09-26,68,0,0
2019-09-27,61,0,0
2019-09-28,83,0,0
2019-09-29,84,0,0
2019-09-30,80,0,0
2019-10-01,56,0,0
2019-10-02,48,0,0
2019-10-03,109,0,0
2019-10-04,152,0,0
2019-10-05,181,0,0
2019-10-06,187,0,0
2019-10-07,153,0,0
2019-10-08,153,0,0
2019-10-09,145,0,0
2019-10-10,111,0,0
2019-10-11,171,0,0
2019-10-12,190,0,0
2019-10-13,198,0,0
2019-10-14,155,0,0
2019-10-15,138,0,0
2019-10-16,133,0,0
2019-10-17,123,0,0
2019-10-18,132,0,0
2019-10-19,182,0,0
2019-10-20,162,0,0
2019-10-21,88,0,0
2019-10-22,75,0,0
2019-10-23,77,0,0
2019-10-24,81,0,0
2019-10-25,70,0,0
2019-10-26,79,0,0
2019-10-27,81,0,0
2019-10-28,53,0,0
2019-10-29,65,0,0
2019-10-30,61,0,0
2019-10-31,66,0,0
2019-11-01,78,0,0
2019-11-02,87,0,0
2019-11-03,72,0,0
2019-11-04,65,0,0
2019-11-05,63,0,0
2019-11-06,71,0,0
2019-11-07,63,0,0
2019-11-08,54,0,0
2019-11-09,56,0,0
2019-11-10,75,0,0
2019-11-11,61,0,0
2019-11-12,65,0,0
2019-11-13,59,0,0
2019-11-14,51,0,0
2019-11-15,70,0,0
2019-11-16,75,0,0
2019-11-17,70,0,0
2019-11-18,65,0,0
2019-11-19,56,0,0
2019-11-20,56,0,0
2019-11-21,58,0,0
2019-11-22,71,0,0
2019-11-23,81,0,0
2019-11-24,69,0,0
2019-11-25,66,0,0
2019-11-26,48,0,0
2019-11-27,48,0,0
2019-11-28,64,0,0
2019-11-29,62,0,0
2019-11-30,69,0,0
2019-12-01,56,0,0
2019-12-02,64,0,0
2019-12-03,52,0,0
2019-12-04,46,0,0
2019-12-05,44,0,0
2019-12-06,52,0,0
2019-12-07,59,0,0
2019-12-08,62,0,0
2019-12-09,46,0,0
2019-12-10,40,0,0
2019-12-11,43,0,0
2019-12-12,51,0,0
2019-12-13,60,0,0
2019-12-14,73,0,0
2019-12-15,67,0,0
2019-12-16,61,0,0
2019-12-17,55,0,0
2019-12-18,47,0,0
2019-12-19,56,0,0
2019-12-20,64,0,0
2019-12-21,54,0,0
2019-12-22,53,0,0
2019-12-23,46,0,0
2019-12-24,40,0,0
2019-12-25,47,0,0
2019-12-26,47,0,0
2019-12-27,50,0,0
2019-12-28,52,0,0
2019-12-29,53,0,0
2019-12-30,54,0,0
2019-12-31,42,0,0
2020-01-01,69,0,0
2020-01-02,48,0,0
2020-01-03,44,0,0
2020-01-04,69,0,0
2020-01-05,70,0,0
2020-01-06,50,0,0
2020-01-07,38,0,0
2020-01-08,46,0,0
2020-01-09,120,0,0
2020-01-10,202,0,0
2020-01-11,232,0,0
2020-01-12,275,0,0
2020-01-13,233,0,0
2020-01-14,281,0,0
2020-01-15,368,0,0
2020-01-16,316,0,0
2020-01-17,395,0,0
2020-01-18,444,0,0
2020-01-19,485,0,0
2020-01-20,484,0,0
2020-01-21,443,0,0
2020-01-22,494,0,0
2020-01-23,467,0,0
2020-01-24,436,0,0
2020-01-25,523,0,0
2020-01-26,461,0,0
2020-01-27,500,0,0
2020-01-28,546,0,0
2020-01-29,469,0,0
2020-01-30,475,0,0
2020-01-31,492,0,0
2020-02-01,604,0,0
2020-02-02,584,0,0
2020-02-03,594,0,0
2020-02-04,575,0,0
2020-02-05,630,0,0
2020-02-06,602,0,0
2020-02-07,675,0,0
2020-02-08,677,0,0
2020-02-09,651,0,0
2020-02-10,601,0,0
2020-02-11,595,0,0
2020-02-12,621,0,0
2020-02-13,629,0,0
2020-02-14,532,0,0
2020-02-15,645,0,0
2020-02-16,651,0,0
2020-02-17,668,0,0
2020-02-18,631,0,0
2020-02-19,630,0,0
2020-02-20,672,0,0
2020-02-21,631,0,0
2020-02-22,658,0,0
2020-02-23,693,0,0
2020-02-24,649,0,0
2020-02-25,626,0,0
2020-02-26,628,0,0
2020-02-27,709,0,0
2020-02-28,647,0,0
2020-02-29,705,0,0
2020-03-01,642,0,0
2020-03-02,623,0,0
2020-03-03,641,0,0
2020-03-04,685,0,0
2020-03-05,624,0,0
2020-03-06,553,0,0
2020-03-07,602,0,0
2020-03-08,603,0,0
2020-03-09,590,0,0
2020-03-10,636,0,0
2020-03-11,601,0,0
2020-03-12,585,0,0
2020-03-13,609,0,0
2020-03-14,671,0,0
2020-03-15,668,0,0
2020-03-16,678,0,0
2020-03-17,694,0,0
2020-03-18,695,0,0
2020-03-19,708,0,0
2020-03-20,665,0,0
2020-03-21,694,0,0
2020-03-22,699,0,0
2020-03-23,606,0,0
2020-03-24,623,0,0
2020-03-25,657,0,0
2020-03-26,631,0,0
2020-03-27,646,0,0
2020-03-28,671,0,0
2020-03-29,763,0,0
2020-03-30,681,0,0
2020-03-31,695,0,0
2020-04-01,746,0,0
2020-04-02,890,0,0
2020-04-03,910,0,13877
2020-04-04,1059,0,14289
2020-04-05,1048,0,14455
2020-04-06,923,0,12990
2020-04-07,915,0,12956
2020-04-08,897,0,12785
2020-04-09,880,0,12562
2020-04-10,850,0,12396
2020-04-11,867,0,13119
2020-04-12,965,0,13322
2020-04-13,780,0,12526
2020-04-14,724,0,12149
2020-04-15,709,0,12171
2020-04-16,717,0,12049
2020-04-17,736,0,12041
2020-04-18,814,0,12520
2020-04-19,791,0,12800
2020-04-20,743,0,11761
2020-04-21,709,0,11752
2020-04-22,719,0,11529
2020-04-23,687,0,11424
2020-04-24,750,0,11563
2020-04-25,774,0,12097
2020-04-26,802,0,12262
2020-04-27,672,0,10931
2020-04-28,624,0,10654
2020-04-29,642,0,10586
2020-04-30,739,0,10411
2020-05-01,694,0,9079
2020-05-02,665,0,9527
2020-05-03,648,0,10736
2020-05-04,602,0,9744
2020-05-05,602,0,9327
2020-05-06,582,0,9214
2020-05-07,593,0,8799
2020-05-08,572,0,9058
2020-05-09,584,0,9767
2020-05-10,616,0,10129
2020-05-11,565,0,9268
2020-05-12,554,0,8969
2020-05-13,512,0,9569
2020-05-14,642,0,9538
2020-05-15,745,0,9363
2020-05-16,890,0,12056
2020-05-17,789,0,11892
2020-05-18,591,0,9892
2020-05-19,540,0,9405
2020-05-20,530,0,9315
2020-05-21,518,0,8844
2020-05-22,515,0,9032
2020-05-23,842,0,12367
2020-05-24,859,0,12046
2020-05-25,578,0,10136
2020-05-26,503,0,9708
2020-05-27,531,0,9662
2020-05-28,521,0,9340
2020-05-29,560,0,9292
2020-05-30,583,0,11610
2020-05-31,540,0,11346
2020-06-01,0,0,9089
